r       ,Kf      ,Km      ,      Ky      ,      Kz      ,      PSI     
  0.3000, 30.0000,170.0000,    151.629778,    158.573064,      0.081621
  0.3000, 40.0000, 20.0000,     21.118374,     21.632419,      0.081621
  0.3000, 40.0000, 30.0000,     30.707645,     30.816210,      0.081621
  0.3000, 40.0000, 40.0000,     40.000001,     40.000000,      0.081621
  0.3000, 40.0000, 50.0000,     49.101527,     49.183790,      0.081621
  0.3000, 40.0000, 70.0000,     66.952363,     67.551371,      0.081621
  0.3000, 40.0000, 90.0000,     84.522995,     85.918951,      0.081621
  0.3000, 40.0000,110.0000,    101.930205,    104.286532,      0.081621
  0.3000, 40.0000,130.0000,    119.233795,    122.654113,      0.081621
  0.3000, 40.0000,150.0000,    136.467561,    141.021693,      0.081621
  0.3000, 40.0000,170.0000,    153.652043,    159.389274,      0.081621
  0.3000, 50.0000, 20.0000,     21.449492,     22.448629,      0.081621
  0.3000, 50.0000, 30.0000,     31.249434,     31.632419,      0.081621
  0.3000, 50.0000, 40.0000,     40.731935,     40.816210,      0.081621
  0.3000, 50.0000, 50.0000,     50.000002,     50.000000,      0.081621
  0.3000, 50.0000, 70.0000,     68.121648,     68.367581,      0.081621
  0.3000, 50.0000, 90.0000,     85.899272,     86.735161,      0.081621
  0.3000, 50.0000,110.0000,    103.468265,    105.102742,      0.081621
  0.3000, 50.0000,130.0000,    120.901216,    123.470322,      0.081621
  0.3000, 50.0000,150.0000,    138.240536,    141.837903,      0.081621
  0.3000, 50.0000,170.0000,    155.512669,    160.205483,      0.081621
  0.3000, 70.0000, 20.0000,     21.899371,     24.081049,      0.081621
  0.3000, 70.0000, 30.0000,     32.024396,     33.264839,      0.081621
  0.3000, 70.0000, 40.0000,     41.820807,     42.448629,      0.081621
  0.3000, 70.0000, 50.0000,     51.378687,     51.632419,      0.081621
  0.3000, 70.0000, 70.0000,     70.000000,     70.000000,      0.081621
  0.3000, 70.0000, 90.0000,     88.182635,     88.367581,      0.081621
  0.3000, 70.0000,110.0000,    106.081935,    106.735161,      0.081621
  0.3000, 70.0000,130.0000,    123.787641,    125.102742,      0.081621
  0.3000, 70.0000,150.0000,    141.355215,    143.470322,      0.081621
  0.3000, 70.0000,170.0000,    158.820781,    161.837903,      0.081621
  0.3000, 90.0000, 20.0000,     22.190780,     25.713468,      0.081621
  0.3000, 90.0000, 30.0000,     32.552029,     34.897258,      0.081621
  0.3000, 90.0000, 40.0000,     42.592015,     44.081049,      0.081621
  0.3000, 90.0000, 50.0000,     52.386978,     53.264839,      0.081621
  0.3000, 90.0000, 70.0000,     71.442647,     71.632419,      0.081621
  0.3000, 90.0000, 90.0000,     89.999999,     90.000000,      0.081621
  0.3000, 90.0000,110.0000,    108.219424,    108.367581,      0.081621
  0.3000, 90.0000,130.0000,    126.199146,    126.735161,      0.081621
  0.3000, 90.0000,150.0000,    144.002687,    145.102742,      0.081621
  0.3000, 90.0000,170.0000,    161.672945,    163.470322,      0.081621
  0.3000,110.0000, 20.0000,     22.394911,     27.345887,      0.081621
  0.3000,110.0000, 30.0000,     32.934441,     36.529678,      0.081621
  0.3000,110.0000, 40.0000,     43.166875,     45.713468,      0.081621
  0.3000,110.0000, 50.0000,     53.156461,     54.897258,      0.081621
  0.3000,110.0000, 70.0000,     72.585435,     73.264839,      0.081621
  0.3000,110.0000, 90.0000,     91.480813,     91.632419,      0.081621
  0.3000,110.0000,110.0000,    110.000001,    110.000000,      0.081621
  0.3000,110.0000,130.0000,    128.244033,    128.367581,      0.081621
  0.3000,110.0000,150.0000,    146.280739,    146.735161,      0.081621
  0.3000,110.0000,170.0000,    164.157347,    165.102742,      0.081621
  0.3000,130.0000, 20.0000,     22.545867,     28.978307,      0.081621
  0.3000,130.0000, 30.0000,     33.224333,     38.162097,      0.081621
  0.3000,130.0000, 40.0000,     43.611904,     47.345887,      0.081621
  0.3000,130.0000, 50.0000,     53.762994,     56.529678,      0.081621
  0.3000,130.0000, 70.0000,     73.513051,     74.897258,      0.081621
  0.3000,130.0000, 90.0000,     92.710639,     93.264839,      0.081621
  0.3000,130.0000,110.0000,    111.506170,    111.632419,      0.081621
